review_id,stars
b8-ELBwhmDKcmcM8icT86g,1
rBpAJhIen_V-zLoXZIcROg,0
_pALaDG6se9OTkGGhyhnNA,5
ru8fpA1Uk0tTFtO5hLM49g,1
fRPgwuFoY6SriToXZyaOQA,0
t3tmIwwCFKJ7ZRUAqZz-ag,4
65dbOiK8QLiG-q7R3r-ITw,1
frBjqsNS16OvNL8b-DBGKw,3
y7sor19EaK2nUlCAxJxFNA,2
9JGeaga55u8cCe7FHDj7gA,3
y8RgeqcrOJTU7Sb6x-pBjQ,0
FHObz6EK7WOeA-Ee2IRLEA,0
HP6NEsv8ePTtmYqgaDZ87g,5
2l-c_3oOS7oztzrHXNh6zA,0
GGTZtwJCDxY6p77SANMr7Q,0
iwC8AkgS_1Qw0ThYD9cSCA,3
MFYAsWyYNZ1ToWuAiynKrg,0
Q1ZUa11mK6_bFDh9zwuXGg,0
quFITCRGEQcvwxPvN25PzQ,5
2DcPhyrjasoJifJbU0VnOw,2
1jHBnM_VCox0GcAvGna2UQ,5
q8WJ5ZQp0vezvUE57Fv2fw,0
vuG-shJuTkXHmszzz1DVsg,0
BDu4ADpOUJpeUerd94y_WQ,0
YeSL7VXTEqmiUnPw1m7ruA,0
MJvmLg_y1faiLllKr4HPsA,0
InFAlSZcY5PinEiOLxKgNw,2
3VPxjYDv4Z0t9IOTbtJCWQ,5
f64CGOR_DVoMCj2H36Z2Uw,0
JOhmb5uEPjAY2xsB8OEWAA,3
38WUo6eiBCzdbDF576t8pA,4
9dnPS5JJD8ia5Mq7eYzPRQ,4
uxknPBrrSMGrI7v8AUyIDQ,3
Gx-z2bP8-UI43Sz2KPOdTg,5
WjP2jbUweuSIAZPR2iU8Aw,4
MAkMscqPSayeCIQoy_x_qA,0
DbENDh9X46v_C1HY27CXIg,4
KKWZjGPSVl7xpREryCWzlQ,2
pfrnP2plJR2Zaix5fRn32Q,0
mDR0A1-pziFUhj27J2u-EA,3
rc_X6viQvhlmQIqqm9yzTw,5
p-R48oMv_wSvRhHzQp2MTQ,1
U3Kk2fjphLbZXSIiavgncw,4
9BJiVrsNRCr2v0dTO2yjxA,4
wMrdGN7tgdSkeSLtn9ASQg,2
piQ7IVZZJgG02em4KQz_Yg,2
aMq_jyx12sjI73V-6soj-w,1
OZ8RbFi2iY06iyPwZ-rHbA,4
xW0SeRA6LA-Gfh_5Xok7Pg,5
Obq4-BRq5Kg8OTth3VJGyA,5
DsX-1Pb0YyF-JMHBM5Z3Aw,1
wu82_RnPJlHgCcPe-9YvmQ,2
m-bFwB9jl_fJ3uCAlewJkg,5
ljkLZNhn95-Jtgqdf-Q61Q,3
8Hi_rl4jNweo2bmtsDgZyg,1
OLNDqTDKO_Ewdn_jPdrNSA,0
gek8j1rg1MRt5v0WxV89hg,2
vcEcdA8ye2w2tHY6CQltFQ,4
bTP0O4vKr_60R71mor4-dg,2
9QWgCToR8UWW6I4SSNRZCw,2
6DUI79vAPbDGgannkks3gA,5
gd6JXiuyOeXJRqH5lSG-Og,5
IQQGXmy7Lx4cZVPeS1-1uw,4
ahlMx1u7t37_4ORSQdsERg,2
ArI-ovp_pbk4bMCUGUYUlA,5
cX7Bp7a3NGE_kY6jKlmESQ,3
jTqh5NYfEVlmr9fGDhb6dA,4
fRvkoFPYP7CtHOMbl_mMuw,4
FLMCgmKAmlRgqo6lVCUccA,2
EBZgmq57lRYlOBj1bu0SPw,4
QQEFwa6_beWInaMVB6c78Q,3
rSvK3W36zxFKQfsVzVfvwA,0
BLFpRHvcr0VNFOWqaVAzOg,4
aTdEqiQBup6s5ClRW1PIzg,5
x_xipGCHfLYHUDgQdGCZSA,4
6ucNmqYyeSAzLUp92Z9fFw,4
-bizFU0PqFCqoRD5_oazDA,5
czhx6K_BGiuWtixUnbOEjg,3
HPnIN6fOBKvNiEIZmT1FJQ,5
sGR0quubtaCggoPSyTMr6w,3
4jkCn9injSnFUULNM9Y2mg,0
lZ0ABaYKuFu-GieeuzC3eQ,2
io6fHsQDp1SKv1mffZYsEA,0
x3o9VvW86pIxyZH_TyBljQ,2
FY7gLQWRsW-PQUd1jFWpmA,4
F88X04skELUdpghp3TbVAQ,1
Hi3YHC6GffWakIwXcZGqGg,0
pRH7gNbacAyiIUPgg7I4MA,3
KE4PT_4SzhmJ_PN-PUcbHQ,4
xKhQxv9GyuWu-xdwTph_MQ,3
B3Fd-sUCXOgEGNueT7kfHg,5
6TRxayqYaOkZSB3YovrDJw,2
3JTQxMcbeRMUyMTPTk3w2Q,2
uuAnRiVVJEaZA0c4ASmuJw,1
D220wJVMyd-yY0ubC745Ig,0
uNbRelrB5-X86MKzh4Q_Qg,0
4CMAbD0-ViB1jb3cnQJ6ZA,0
knp2EaNWz0SExjlsvRTv7Q,0
WcmiJ2YMAd3wzwRvcITcOg,2
MZdQlIY1IgjLPe09ETGg1A,1
IJQWQjbAhI1eFBDC_CI4Zg,4
I41WNVGQusLm7swaV5Y_BQ,4
0ycKNfTAPhuyvPmm1A_mfA,2
PrvXzQN3xAOnHTWhik77eg,3
2mRPFW_1U_dE6b81aIvEBg,3
l1AjlsV2LnO7jnpy3fCTzA,2
OVakHYsxp-Wz0HpALIcFLw,1
ED78WVpMZsx52fqeQuWHqw,5
GIfofOcswIEIkM6q49_n8A,3
4vV1uWLT3Y9mD2urOCFg7Q,3
mBEFKPJm88ai5DuR71-_fw,5
VoEl2jlLFgwNUQYV0VzmQA,5
dBjXeXey2GC_9VDGF1jOZQ,5
7D3Z1mENmqwGsNMICwua_g,2
y7oydm3hbq3kNoHljUUNjQ,4
zZtRPuK0KMRQ8J6d--4jCA,1
AMUI8w5Fb4uWuTv2I9TtwA,1
pkZeJvYw91g0acHQwCqvNw,0
WNn3u9Kfs0xOPz5dJ7yJ_g,1
FI9SB-krFC-iZMfa-iuG9g,0
5mnhmZEQuNVrX_62NBeozg,5
vGRX9W4DDrRJMq2k_Oe7Aw,1
dInJhuSqaA8InsqoHwWbbg,1
IU037qyr-Z__UC9lDdRfYA,0
xECvXk9MUnagoqqVjjjENA,5
iRahmwr2J5KLFfjc8Bz44A,0
m0VDd-INU508e7yZBGkF8A,2
fillhAgb6hxqB-4ZBU-1vQ,4
vAjYKDLUZUOP5oS8sx793w,2
gtuaCgKX6oruVEnkmEB6UQ,1
r3NhKTIjrYG_Cje6WUT-8A,0
1CvjpWVeUbZJlhh5CmQ6aQ,1
y24HUa29d3zF9pF7Kw1Ifw,5
ccYHqI9FRnSGNSTux0IabQ,2
B1dg81H86tX7-qRQHIJxCQ,4
MiWK3YDt8BVWGJG5kLvnRQ,2
YBdeb4-1LkozrQ4PEQH8NA,2
ay_keUX2vPtXLclQ6k6jfA,2
uhjnRl03lPCMxP_JkxlSzg,3
gOuhdx3bVEYGocqLATAIGQ,5
cDi6nfgEgxSt22FVOGONhw,4
X-aAz5sRDrRRYVRWx5iimg,5
KBbNDKRSF7KOGoJ2Ip1WZQ,5
v3mxqlBg1gdsx7XVgFA1XQ,4
yyP5Ebdx_VmJmpuYpGbH_Q,0
WVv_Aq66ZWnvqhqgrRRz1A,4
YlJJz7h3KVJcBpR6vp51zg,4
X_s9yDJOBjRVwk_8uBOGww,5
xGbRDZKdywBMXHNYnDanHg,5
s_H7V55b2Kkz5rdZ2WbWIg,2
5OOaThvaiNoXIv65MrQ9bQ,0
_K41OnUgYSoRINEoUsAdeg,3
Dqh8m5HdplXXdsLkx5MqYA,4
5oXjYLUhAS9IqxfRwFbfUA,3
cieLLZHmWfGSdrquiaiytA,4
_Br6y6CbatpQpXsLv4M_sA,0
zkJAZC9lgf1sXq_mKvz-FQ,1
3-LMPWioky6rI9MzyBTZWg,4
PQg4PwQ-shzih-lo4KlUJw,0
020SwBboDhWPA-bHyLR0vg,5
CcNKrz794Ea6TPdXefC3bQ,0
7FQy6Ndb4KXRLe0sI504AQ,5
g9pI-jqHVJqzro_A5guURQ,5
PhfbNMQm7sIXFaAlgPJC2A,2
dgw4fK7Meoz8WLzxUJIz_Q,2
cXa_wdpFQd0nkyXA2k-Hfw,2
P0YiXl8UOt7J5Ff984RlTw,2
7vivaxUu8wOA8IJRXtx-iA,3
sClZRCHXz6sau42bz9oZvQ,1
Sr4Q-2ystuZcW-4d27N8lA,2
XmEEYWrL4dNq52FdlZL97Q,2
Sg_1jMwumPOeHNBnERuv2Q,4
vNrDAn69aDoKWuiCMKA2Wg,3
PI2j_u4kRo_elJkuGS2Bqg,0
O4ynh2uG2XipvsSB8vQMbg,4
mwwfX89L5g9q26ZlbtN9yA,4
5JoDXhpWkqjRgvnlpKrLRw,3
SBN1KxdhIQfrNzizSTdLxA,4
Kb45k_XQiTIgR70ZVBYVfQ,5
_FpEPCqlNRLDUYzWIEFJuw,3
2wlTLLqYa-DbTlrDxicWSA,4
Aq9HWOqnuxvqfExaTHR5Xg,3
nWXbhRL_lj_iwa1l-y6Dlw,1
qbY78S3c8xLg1wtNC-sGkg,5
8uLiio2c3Y1FQ4xmVS-ejg,3
eS13UsH9vYS_0_ah1clQmA,1
EBsYYrWUSM-GfVzmNYCk1Q,1
WgKAlVk92B9oa6eLHcXgJw,3
mNHO6Qppn5QXKI8z1Vh01A,4
y3d57hrdEYbJBxTPtM8j9Q,3
fhnNvrsufjxGHbnUveshuA,0
dNJvg0bpR9K_Jy60gkl94w,5
C3MUPh0wIOt_mICDMwQLKQ,4
Ne-UJLhkn7vtwQvlP3UXxA,3
vrmqQgeidzHYx4B5Svuqgw,5
9NJTzA_nmAiKPmP2VuTL3A,3
vkmNvYigeDIrjrVYCFMqOA,4
xzkRbYGVb-WmJ8jwBZoKag,4
ifpW-zDb43QfBMvtBI_MnA,5
jeO2sSf1amlcc3osUL77Sw,1
rawe7SvbugeqJl14zqThhQ,4
UmeowEaA0KN9wPisrzZSIA,3
pn-YJEqtCXsGLi_qQWoMcQ,0
7ykqNP8vX2Oq5adJAD5EkA,4
AeB6OKnwNGKajQcKYw1d9w,2
cIdsZvH3PFhtN__NIMpa-g,2
Af6Jnf8F5xBliuixStWF8g,1
GbngiTN1iYdN4MkNnxoXcQ,5
PDsizZabkBSD0NMSepoiJQ,5
BiPUlb_SVNoCBG--LrIKSQ,0
JYy69feKY5KL63BxhLTXsw,0
dgOxSHxDEUbvCPQo2Hho-A,5
DFXVDpt6vbpz_zfkqh4RFg,4
1_J0CN1S2jXYSjWrwkJH3A,0
LdigQwPWVVvhw7WqseX28A,0
vvAjk2y2IlrjKaX9QJ959w,5
QJmlOpjwwDO9pmmDZQRWdg,4
i0rHd-AKZ9FrEXIPCl5yZw,1
r6TNo0cv_oQ4aRPFm0EYOg,0
FzZd9YnbP1UQzNx0JKu8_A,0
xfF1-E73A4uh4DGxjU7FBQ,2
iG7mqKz2lTZPtpkdB-0CnA,4
IbU7ljiext-aCiJbsplgxg,1
1ElxUfhAr0sLdmHybQZazA,2
xqE1Gv8UFRDyBRur-NfeOA,0
fzOMgdizc5SqpiMnHGLjXA,4
xPX9-6_-0y4WUSK0NEJiTA,1
vzkYlKmKGTvie2hPy8TtXw,0
XuaKOjgIw-Jt6BRS2p7MrQ,1
3HrD4Ot8EXVTaIjD2TxUEA,4
bCk0s1-1d7powZxUnMrqxg,1
wOQFWoWcUfmUQhrxkWaABQ,4
OydkLqVHKbR94bvVb70sSw,2
MHYLSm0g2t5cmXgSVkipSg,1
Koq6loLHQDLDCrjGd85cpA,1
AnvpVgHIqf2_AXT0HlaU0g,3
XA1BkbjRONOerZk650q_RQ,4
UroofmmeGWB82y_f7yIv1w,5
4EyaROnW3ZQQbrGOquWrlQ,0
1FXcob1zKBGe-31BGWjW1A,4
mPfxfvGiPN8ZCXUwC-MMbQ,5
egiTqrJvswKNzICj063x4w,1
BTR6vEWAIosklcAfF-25Xw,2
CFeqGBvmJKExr_DrKi7r2g,4
lHeGdeqIy86sDSsLixuilQ,0
V2xFibioTCa3wgh6bgnY-A,5
Ja4IUKYZUcaKPJD2rOXCvQ,4
eDD0W__-CaYsGTx_n61-8A,1
RyPBdHRXVeD2U3MRsaeCTw,1
RkrBJgfq4giKzEObwCEF2A,3
wNFKCFor0xqhC-xCMCvsBw,0
Yf7TLYIf98J9rJA-LjYOpA,4
xksrfukoG8hCrE_II_OQ8w,5
VfuknqlxnD0sa1-hpmsHfQ,5
ZowkVDoH_JPMUIQ0mfoUyA,2
5T6KVY7-dsgMYTP13JJZDQ,0
eYkVjpPrMaRVrqWQbQRmYA,0
7YS6BavaQXhV3sFbsjHtbg,5
mh6fDq8KnHjikLmIHDMcdw,5
gtHMQZCLu2m1OfMs_AuDjQ,5
oNekufUg5rLdIRWBM_RyYg,1
Uszwd-8YaWjxgzVzlJJUww,5
jXRrPrmxELLa_Iw2NnPaow,3
y1w59nEzTYnVTcW9FqPJ8g,1
93rLMdzFtTkoAqb3uW72lw,2
DEvfMF5AIrrqLy-0zX_6qg,2
MD4C9BH90qM9t54mNvxyaw,3
9Z-eFbd_kn9ZlEEKgKuVow,2
eK0sWuTQ5X2OcXuP6DCsNg,1
K0ea_C3v8I26h_BeqDEgYw,0
q4FoEHsKhtkw_FlXwv-bJA,4
ldiBMBoWDGNNZnqRSIX-hA,2
_MOFuZH-uHlLjbHJ81PEcw,5
p8020mEJHhKjqe8x5QyOEQ,3
nukzAsyjQOcYRSz08rtyKA,5
SvhBSk31oy-Uhmldq2Pg-A,5
71Ato3U3TgCLo9CGY2xDbw,1
Wb7icYmxWSGpVnOqCD0_Cw,4
4f0d1Z2LoTlt03MKfoVKwg,3
RZaxOvNqUIiJQ_PjrZCxaw,0
_JrZOPVhGe6zxERb5sEsng,3
7UWHowWtiPnBB19IV2sLMQ,1
WNRCsHaj6rByNFVAZxDrcQ,4
NetsGNKAGii0tYfDECOQ_A,0
C9GqbRU7zmHQCMYZhBfFHg,2
7FaMBBfthvv9eNedUy-xCA,4
oxBD44lOIudtn136s15KoA,0
lgAgzNndW-SgfX-kkG2TMw,0
w2LgGh-9laVsL5llFxbcog,1
34QYS8SZY7vR0LIo5pyatw,0
I-wpeTBdVZQIr92CXMbA3A,5
14brCdCkdiRgYtGvWybviA,0
tYu6NIRR72wUQozIFVq8tg,0
hdaSpjMetDJCIki2MyBL3A,1
zOq4Fd7lMNf3S0gP7kGASw,0
fZ_avGBv_RJv5-r8h3kPzQ,4
a4ApQ8D5rbbhKvGZUD21aQ,0
wYJq8QoP7rCTf9FJcKVKFw,2
IUU7FexTLboZuO60Ss9nEQ,4
5bRwO3mtsd4mh2efK3AsOQ,3
4dnqux0TzgUBc6B_I9lH3g,4
w8ToB485gGrWNbVMlsgjdA,4
rXZ77vgs0HRzWr0Cu-Qu4A,3
o3W7oY2W47LUqeJl3qsyOg,0
fxtOS9zoEAAl8jkSCfASXw,3
YKYGRp3LpsY1gP-WOh6c_Q,0
V8tg4Oo0qK0kQE7Bpr2liw,4
CMPat5c0TfI-ONFFCpcJvA,1
Hc5-RDzY8FMbxnPOivoNJQ,2
tqjlGSw0reCsDincYzCKjQ,0
pMb87-J26UJh2BuuqDFyLA,5
2qs6smL93-vZy76GsVKEEw,1
gztjqxj9jGyVau6cVW_-Aw,1
9_wfCKsC86yWr-h_prQ7XA,5
8AQfCvHgfrC6wDkVtX0u1w,2
tqAhAWYkYwEnfhaxiXS_Pg,0
Oh6Pl8hbMTmOiqH6yWpfDA,2
v2ZFP0zjwrkmGGKDRNu_0w,4
3hBQ_8piJMGC5Rqt7d8vMA,0
iRTJ_H6cnzuAOIfpLnEYSg,5
Lif8fBlUNuc1NEEwYaj5CQ,4
zj4UJ3GNahkdERtHpL5FUQ,3
-DKkekHJKBoGk6SYitPWUA,4
U402LimeYLU58A9Nz9NOoQ,5
O00K8ZVmR0e_-NZZPUxKKw,1
7-jOtQk_BsAlxOhBJN9yrA,1
jJSkcBUf3MDC3rcZXt3saA,5
u65nnF7aYnoG5mYK6MODbQ,4
r7_NolyNgogxEmHnICEbsQ,3
o2U0507DkbV6pH-7ers2Vw,3
MlOl8cL3pZqcdxNsPR2Xjg,1
CUskL4j-JD748hcNGaA31Q,3
6hw7Pb7SVXfecBmCicoUEA,5
fC8l-QKswk9E_BtOs99hUQ,1
wSCbq3HErAUh-dd21Cfgog,5
UaUgZ8pZbryXfMGjriAKVQ,1
avmsoZSp45LTgE2yBYwTVA,4
_e6FUNzXWDUfr4vbnilR-A,3
6dpam4MSoLyLM5jMeKjYcQ,1
