,user_id,name,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
0,f04e1b175716b9ff46f0f58d14f65cbe,Karen,85,2008-07-13 17:51:38,63,25,45,"2017,2018",4,4.4,1,0,0,0,0,1,3,1,1,3,0
1,9de9e40b3727c667a5b7c1664aa59a5b,Bobby,376,2010-03-10 23:55:33,1754,1036,1124,"2013,2014,2015,2016,2017,2018",39,3.64,47,6,2,2,1,38,77,106,106,52,3
2,41a23c92933408a7fd98abed3d3d0071,Michele,244,2011-02-01 01:29:47,435,76,145,,23,4.38,6,5,0,1,0,4,13,13,13,9,6
3,1e8b87bf395e036ba5eff80e8b47d509,Christopher,267,2011-05-18 23:00:16,1438,767,1157,"2013,2014,2015,2016,2017,2018",49,3.83,44,8,2,0,0,39,71,146,146,107,3
4,344c541cfca0e120924456e8c8cfd468,Lamiya,55,2012-05-05 19:02:11,71,31,52,,2,4.16,1,0,0,0,0,0,3,1,1,0,0
5,95b620b7cc37b845d63ddbb618634c8e,Julie,788,2008-03-28 17:58:35,3668,2319,2853,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",188,3.72,409,19,25,71,13,157,275,491,491,116,70
6,8314f387fc4eb686a07ccd624da8460e,Rosie,188,2013-05-18 04:12:15,582,362,436,"2016,2017",15,4.05,13,0,0,1,0,3,11,27,27,8,6
7,14783a68b2ad109d2d5c3dcf17deb188,Marco,150,2014-03-01 14:42:45,247,106,179,"2014,2015,2016",14,4.39,16,0,0,2,0,10,14,40,40,5,10
8,aecff0cdb5a784579825f2a8455cdab1,Monica,133,2011-11-12 01:20:30,149,49,90,"2016,2017,2018",16,3.98,8,15,7,0,0,5,12,8,8,5,7
9,2a9720dc42a53d0cc356bde7393d7d0f,Ambica,54,2013-11-25 03:34:27,11,1,9,2018,1,3.59,1,0,0,0,0,1,0,2,2,1,2
